Unique ID,Podio_Lead_Unique_id__c
Business Name,Company
Customer Contact - name,LastName
Lead Source,Lead_Source__c
Sales Channel,Sales_Channel__c
Customer Contact - phone,Phone
Customer Contact - mail,Email
Old Website URL,Website
Segment,Segment_text__c
Lead Status,Lead_Stage__c
Time Zone,Time_Zone__c
What problem are we solving,What_Problem_are_we_solving__c
Guide Point,Guide_Point__c
Lead Owner - mail,Lead_Owner_Email__c
New Address (Field) - Address,Address
New Address (Field) - Postal Code,PostalCode
New Address (Field) - City,City
New Address (Field) - State,State
New Address (Field) - Country,Country
Behaviour Score,Behaviour_Score__c
Demographic Score,Demographic_Score__c
Employee Size,NumberOfEmployees
Revenue SIze - amount,Revenue_Size__c
Year founded,Year_founded__c
Year founded link,Year_founded_link__c
Facebook,Facebook__c
Source,Source__c
Demo Set Date in Prospects time,Demo_Set_Date_in_Prospects_time__c
Last Comment Date & Time,Last_Dial_Attempt_DateTime__c
Revenue Size - amount,Revenue_Size__c
Demo Set Date in Prospects time,Demo_Set_Date_in_Prospects_time__c
Revenue Size - amount,Revenue_Size__c
Demo Set Date in Prospects time - start,Demo_Set_Date_in_Prospects_time__c
Salesforce Lead id,Id
Additional Customer Info / Important Information,Additional_Customer_Info_Important_Inf__c
